case_id,params_json,mapping_name,source_api,target_api,source_field,target_field,source_value_json,target_value_json,status,message
case_001,"{""customerId"": ""C1001"", ""orderId"": ""O9001"", ""loyaltyId"": ""L1001""}",mapping_001,old_order_api,new_order_summary_api,order.id,summary.orderId,null,"""O9001""",FAIL,Missing object key: order
case_001,"{""customerId"": ""C1001"", ""orderId"": ""O9001"", ""loyaltyId"": ""L1001""}",mapping_009,old_order_api,new_order_summary_api,order.items[0].sku,summary.lines[0].productCode,null,"""SKU-CN-001""",FAIL,Missing object key: order
case_001,"{""customerId"": ""C1001"", ""orderId"": ""O9001"", ""loyaltyId"": ""L1001""}",mapping_010,old_order_api,new_order_summary_api,order.items[1].sku,summary.lines[1].productCode,null,"""SKU-CN-002""",FAIL,Missing object key: order
case_001,"{""customerId"": ""C1001"", ""orderId"": ""O9001"", ""loyaltyId"": ""L1001""}",mapping_011,old_order_api,new_order_summary_api,order.items[0].price,summary.lines[0].unitPrice,null,88.8,FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_001,old_order_api,new_order_summary_api,order.id,summary.orderId,null,"""O9002""",FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_009,old_order_api,new_order_summary_api,order.items[0].sku,summary.lines[0].productCode,null,"""SKU-CN-001""",FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_010,old_order_api,new_order_summary_api,order.items[1].sku,summary.lines[1].productCode,null,"""SKU-CN-002""",FAIL,Missing object key: order
case_002,"{""customerId"": ""C1002"", ""orderId"": ""O9002"", ""loyaltyId"": ""L1002""}",mapping_011,old_order_api,new_order_summary_api,order.items[0].price,summary.lines[0].unitPrice,null,88.8,FAIL,Missing object key: order
case_003,"{""customerId"": ""C1003"", ""orderId"": ""O9003"", ""loyaltyId"": ""L1002""}",mapping_001,old_order_api,new_order_summary_api,order.id,summary.orderId,null,"""O9003""",FAIL,Missing object key: order
case_003,"{""customerId"": ""C1003"", ""orderId"": ""O9003"", ""loyaltyId"": ""L1002""}",mapping_009,old_order_api,new_order_summary_api,order.items[0].sku,summary.lines[0].productCode,null,"""SKU-CN-001""",FAIL,Missing object key: order
case_003,"{""customerId"": ""C1003"", ""orderId"": ""O9003"", ""loyaltyId"": ""L1002""}",mapping_010,old_order_api,new_order_summary_api,order.items[1].sku,summary.lines[1].productCode,null,"""SKU-CN-002""",FAIL,Missing object key: order
case_003,"{""customerId"": ""C1003"", ""orderId"": ""O9003"", ""loyaltyId"": ""L1002""}",mapping_011,old_order_api,new_order_summary_api,order.items[0].price,summary.lines[0].unitPrice,null,88.8,FAIL,Missing object key: order
